Tracy No.,Frank No.,Year-Frank,Full Gothic Type,Author-Frank,Gender-Frank,Title-Frank
,398,1789,Sentimental Gothic (imitation of Reeve’s OLD ENGLISH BARON),unsigned,unknown,"SEYMOUR CASTLE: OR, THE HISTORY OF JULIA AND CECILIA"
161,399,1818,Philosophical Gothic (sometimes categorized as primitive science fiction),"Shelley, Mary",f,"FRANKENSTEIN, OR, THE MODERN PROMETHEUS"
165,400,1823,Gothified history (uses the castle tyrant as its main character),"Shelley, Mary",f,"VALPERGA, OR, THE LIFE AND ADVENTURES OF CASTRUCCIO, PRINCE OF LUCCA"
162,401,1826,Apocalyptic Gothic (futuristic science fiction),"Shelley, Mary",f,THE LAST MAN
160,402,1830,Gothified history,"Shelley, Mary",f,THE FORTUNES OF PERKIN WARBECK. A ROMANCE
163,403,1835,Domestic fiction (recessive Gothic traits),"Shelley, Mary",f,LODORE
167,404,1810,Pure or high Gothic (Schauerromantik features and characters),"Shelley, Percy",m,ZASTROZZI. A ROMANCE
166,405,1811,Pure or high Gothic (Schauerromantik features and characters),"Shelley, Percy",m,"ST. IRVYNE, OR, THE ROSICRURIAN. A ROMANCE"
,406,1802,Gothic chapbook (composite plagiarism),unsigned,unknown,"SHREWTZER CASTLE: OR, THE PERFIDIOUS BROTHER, A GERMAN ROMANCE INCLUDING THE PATHETIC TALE OF EDMUND’S GHOST"
,407,1798,Pure or high Gothic (imitation of OTRANTO and other first Gothics),"Sickelmore, Richard",m,"EDGAR: OR, THE PHANTOM OF THE CASTLE"
168,408,1800,Pure or high Gothic (elements of THE MONK's loathsome descriptions),"Sickelmore, Richard",m,MARY JANE. A NOVEL
,409,1805,"Pure or high Gothic (romance of the ruin, numerous Radcliffean elements)","Sickelmore, Richard",m,"RASHLEIGH ABBEY: OR, THE RUIN ON THE ROCK"
,410,1809,Pure or high Gothic (journalistic format),"Sickelmore, Richard",m,"OSRICK: OR, MODERN HORRORS, A ROMANCE INTERSPERSED WITH A FEW ANECDOTES, ETC. THAT HAVE THEIR FOUNDATIONS IN TRUTH"
,411,1791,Gothified history,"Siddons, Henry",m,"WILLIAM WALLACE: OR, THE HIGHLAND HERO, A TALE FOUNDED ON HISTORICAL FACTS"
,412,1803,Räuberroman (various Radcliffean elements),"Siddons, Henry",m,REGINALD DE TORBY AND THE TWELVE ROBBERS
169,413,1809,Domestic Gothic (apparitional visitations),"Siddons, Henry",m,THE SON OF THE STORM. A TALE
,414,1796,Pure or high Gothic (imitation of OTRANTO),"Singer, Mr.",m,"THE MYSTIC CASTLE: OR, THE ORPHAN HEIR"
171,415,1798,"Pure or high Gothic (terror elements, Germanic elements and sublime topographies)","Sleath, Eleanor",f,THE ORPHAN OF THE RHINE. A ROMANCE
173,416,1802,Pure or high Gothic (terror elements),"Sleath, Eleanor",f,"WHO'S THE MURDERER? OR, THE MYSTERY OF THE FOREST"
170,417,1810,"Pure or high Gothic (horrific medievalism, situations from Walpole and Reeve)","Sleath, Eleanor",f,"THE NOCTURNAL MINSTREL, OR, THE SPIRIT OF THE WOOD"
172,418,1811,Pure or high Gothic (Radcliffean imitation),"Sleath, Eleanor",f,PYRENEAN BANDITTI. A ROMANCE
,419,1809,"Pure or high Gothic (terror mode, Radcliffean imitation)","Smith, Catharine",f,"THE CASTLE OF ARAGON: OR, THE BANDITTI OF THE FOREST"
174,420,1815,Pure or high Gothic (terror-horror modes),"Smith, Catharine",f,"BAROZZI, OR, THE VENETIAN SORCERESS. A ROMANCE OF THE SIXTEENTH CENTURY"
,421,1788,Sentimental Gothic (prominent features of the novel of terror),"Smith, Charlotte",f,"EMMELINE, THE ORPHAN OF THE CASTLE"
,422,1789,Sentimental Gothic (anticipates Radcliffean Gothic romance),"Smith, Charlotte",f,"ETHELINDE: OR, THE RECLUSE OF THE LAKE"
,423,1793,Sentimental Gothic (polemical and didactic elements),"Smith, Charlotte",f,THE OLD MANOR HOUSE
,424,1794,Political Gothic (terrors of the French Revolution),"Smith, Charlotte",f,THE BANISHED MAN
175,425,1796,Sentimentalized Gothic (various Radcliffean devices and effects),"Smith, Charlotte",f,MARCHMONT. A NOVEL
,426,1810,"Pure or high Gothic (terror mode, bluebook quality)","Smith, Julia",f,"THE PRISON OF MONTAUBIN: OR, TIMES OF TERROR, A REFLECTIVE TALE"
177,427,1753,Picaresque fiction (several heavily pre-Gothic episodes),"Smollett, Tobias",m,THE ADVENTURES OF FERDINAND COUNT FATHOM
,428,1812,Räuberroman and Ritterroman (sham translation from the German),"Soane, George",m,KNIGHT DAEMON AND ROBBER CHIEF
,429,1804,Gothic chapbook (composite Gothic plagiarisms),unsigned,unknown,"SOMERSET CASTLE: OR, THE FATHER AND DAUGHTER, A TRAGIC TALE TO WHICH IS ADDED GHOST AND NO GHOST: OR, THE DUNGEON"
,430,1800,"Pure or high Gothic (Schauerromantik features, imitation of THE MONK)","Somerset, Henry",m,"JACQUELINE OF OLZENBERG: OR, FINAL RETRIBUTION"
,431,1801,"Ritterroman (speculative, sham translation from German sources, terror mode)","Somerset, Henry",m,"MARTYN OF FENROSE: OR, THE WIZARD AND THE SWORD"
,432,1802,Gothic Chapbook (72-page shilling shocker,unsigned,unknown,"THE SOUTHERN TOWER: OR, CONJUGAL SACRIFICE AND RETRIBUTION"
,433,1800,Gothic Chapbook,unsigned,unknown,"THE SPECTRE MOTHER: OR, THE HAUNTED TOWER"
,434,1811,Pure or high Gothic (horror mode),unsigned,unknown,THE SPECTRE OF THE MOUNTAIN OF GRENADA
182,435,1806,"Sentimental Gothic (epistolary format, Radcliffean elements)","Stanhope, Louisa Sidney",f,"MONTBRASIL ABBEY, OR, MATERNAL TRAITS. A TALE"
180,436,1810,Pure or high Gothic (monastic shocker elements),"Stanhope, Louisa Sidney",f,"DI MONTRANZO, OR, THE NOVICE OF CORPUS DOMINI. A ROMANCE"
178,437,1812,"Pure or high Gothic (imitation of THE ITALIAN, elements of the monastic shocker)","Stanhope, Louisa Sidney",f,THE CONFESSIONAL OF VALOMBRE. A ROMANCE
181,438,1814,"Sentimental Gothic (numerous spectral components, especially in the subplots)","Stanhope, Louisa Sidney",f,MADELINA. A TALE FOUNDED ON FACTS
185,439,1815,Pure or high Gothic (natural terror),"Stanhope, Louisa Sidney",f,"TREACHERY, OR, THE GRAVE OF ANTOINETTE"
183,440,1818,Sentimental Gothic (no supernatural elements),"Stanhope, Louisa Sidney",f,THE NUN OF SANTA MARIA DI TINDARO. A TALE
184,441,1824,Gothified history (intermittent terror elements),"Stanhope, Louisa Sidney",f,THE SIEGE OF KENILWORTH. AN HISTORICAL ROMANCE
179,442,1830,Orientalized Gothic (Gothic passions but minimal terror and horror),"Stanhope, Louisa Sidney",f,THE CORSAIR'S BRIDE. A LEGEND OF THE SIXTEENTH CENTURY
,443,1794,Sentimental Gothic (imitation of Charlotte Smith’s EMMELINE),"Stratton, Jemima Maria",f,THE MAID OF THE CASTLE: A LEGENDARY TALE
,444,1792,Sentimental Gothic (terror mode),"Street, Miss",f,THE RECLUSE OF THE APPENNINES
,445,1812,Grotto Gothic (horror and terror modes),"Stuart, Augusts Amelia",f,"THE CAVE OF TOLEDO: OR, THE GOTHIC PRINCESS, AN HISTORICAL ROMANCE"
,446,1816,Pure or high Gothic (terror mode),"Sullivan, Mary Ann",f,"OWEN CASTLE: OR, WHICH IS THE HEROINE?"
186,447,1808,Gothified history (terror mode),"Sykes, Mrs. S",f,"MARGIANA, OR, WIDDRINGTON TOWER. A TALE OF THE FIFTEENTH CENTURY"
,448,1803,Gothic chapbook,unsigned,unknown,"A TALE OF MYSTERY: OR, THE CASTLE OF SOLITUDE"
,449,1800,Gothic chapbook (composite plagiarism from multiple Gothic sources),unsigned,unknown,"THEODORE AND EMMA: OR, THE ITALIAN BANDIT"
,450,1815,Domestic fiction (intermittent Gothic scenes and devices),unsigned,unknown,"THERESA: OR, THE WIZARD’S FATE"
,451,1799,Sentimental Gothic (Radcliffean imitation),"Thomas, Francis Tracy",m,MONK-WOOD PRIORY
188,452,1803,Pure or high Gothic (terror mode),"Thomson, Alexander",m,THE THREE GHOSTS OF THE FOREST. A TALE OF HORROR. AN ORIGINAL ROMANCE
,453,1807,Gothic chapbook,unsigned,unknown,"THE TOMB OF AURORA: OR, THE MYSTERIOUS SUMMONS"
189,454,1798,Pure or high Gothic (terror mode),"Tomlins, Elizabeth Sophia",f,ROSALIND DE TRACY
,455,1824,Sentimental Gothic,unsigned,unknown,"THE TRADITION OF THE CASTLE: OR, SCENES IN THE EMERALD ISLE"
,456,1814,"Pure or high Gothic (horror mode, imitation of OTRANTO)","Tuckett, T.R.",unknown,"URBINO: OR, THE VAULTS OF LEPANTO: A ROMANCE"
,457,1804,Pure or high Gothic (elements of the monastic shocker),unsigned,unknown,"VALOMBROSA: OR, THE VENETIAN NUN"
,458,1803,Pure or high Gothic (imitation of THE CASTLE OF OTRANTO),"Vanzee, Maria",f,"FATE: OR, SPONG CASTLE"
,459,1795,Marginal Gothic (imitation of Radcliffean landscapes),unsigned,unknown,WALDECK ABBEY
,460,1792,"Grotto Gothic (Gothified history, imitation of Sophia Lee’s THE RECESS)","Walker, George",m,"THE ROMANCE OF THE CAVERN: OR, THE HISTORY OF FITZ-HENRY AND JAMES"
191,461,1794,Pure or high Gothic (imitation of THE CASTLE OF OTRANTO),"Walker, George",m,THE HAUNTED CASTLE. A NORMAN ROMANCE
,462,1795,"Philosophical Gothic (polemical elements, reactions to Godwin’s ideas)","Walker, George",m,THE HOUSE OF TYNIAN
192,463,1796,Polemical fiction (numerous Gothic elements),"Walker, George",m,"THEODORE CYPHON, OR, THE BENEVOLENT JEW"
,464,1800,Pure or high Gothic (imitation of THE MONK),"Walker, George",m,THE THREE SPANIARDS: A ROMANCE
190,465,1803,"Pure or high Gothic (strains of horror, terror, and Schauerromantik effects)","Walker, George",m,DON RAPHAEL. A ROMANCE
193,466,1764,Pure or high Gothic (first of the first Gothics and technical prototype),"Walpole, Horace",m,THE CASTLE OF OTRANTO
,467,1802,Gothic chapbook,unsigned,unknown,"THE WANDERING SPIRIT: OR, THE MEMOIRS OF THE HOUSE OF MORNO"
194,468,1795,Pure or high Gothic (influence of THE CASTLE OF OTRANTO and Leland's LONGSWORD),"Warner, Richard",m,NETLEY ABBEY. A GOTHIC STORY
,469,n.d.,Gothic chapbook,"Watkins, Lucy",f,"ROMANO CASTLE: OR, THE HORRORS OF THE FOREST"
197,470,1827,Domestic fiction (recessant Gothic traits),"West, Jane",f,"RINGROVE, OR, OLD FASHIONED NOTIONS"
,471,1783,"Gothified history (verse novel, imitation of Reeve’s OLD ENGLISH BARON)","Whalley, Thomas Sedgwick",m,EDWY AND EDILDA: A GOTHIC TALE IN FIVE PARTS
,472,1789,Gothified history/parody (burlesque and satiric elements),"White, James",m,EARL STRONGBOW: THE HISTORY OF RICHARD DE CLARE AND THE BEAUTIFUL GERALDA
,473,1803,Pure or high Gothic (imitation of OTRANTO),"White, T.H.",unknown,"BELGROVE CASTLE: OR, THE HORRID SPECTRE"
,474,1803,Gothic bluebook,"Wilkinson, Sarah",f,"THE SUBTERRANEAN PASSAGE: OR, GOTHIC CELL"
198,475,1804,Gothic chapbook (compressed Gothified history),"Wilkinson, Sarah",f,"THE KNIGHTS OF CALATRAVA, OR, DAYS OF CHIVALRY"
,476,1805,Gothic chapbook (highly sentimental),"Wilkinson, Sarah",f,"INKLE AND YARICO: OR, LOVE IN A CAVE, AN INTERESTING TALE"
,477,1805,Gothic chapbook (Gothified history),"Wilkinson, Sarah",f,MONKCLIFFE ABBEY: A TALE OF THE FIFTEENTH CENTURY
,478,1805,Periodical chapbook (straight supernatural horror),"Wilkinson, Sarah",f,"THE SORCERER’s PALACE: OR, THE PRINCESS OF SINADONE"
201,479,1805,Gothic bluebook,"Wilkinson, Sarah",f,"THE WATER SPECTRE, OR, AN BRTACH"
,480,1807,Pure or high Gothic (based on Lewis’s Gothic drama of 1798),"Wilkinson, Sarah",f,"THE CASTLE SPECTRE: OR, FAMILY HORRORS, A GOTHIC STORY"
,481,1807,Pure or high Gothic (elements of the monastic shocker),"Wilkinson, Sarah",f,"THE FUGITIVE COUNTESS: OR, THE CONVENT OF ST. URSULA"
,482,1809,Pure or high Gothic (imitation of Mrs. Radcliffe’s THE ITALIAN),"Wilkinson, Sarah",f,"THE MYSTERIOUS NOVICE: OR, CONVENT OF THE GREY PENITENTS, INCLUDING THE MEMOIRS OF AUGUSTUS AND WILHELMINA"
,483,1810,Gothic chapbook (terror mode),"Wilkinson, Sarah",f,"THE CASTLE OF MONTABINO: OR, THE ORPHAN SISTERS"
,484,1810,Pure or high Gothic (elements of the monastic shocker),"Wilkinson, Sarah",f,"THE CONVENT OF THE GREY PENITENTS: OR, THE APOSTATE NUN"
,485,1810,Periodical Gothic (terror mode),"Wilkinson, Sarah",f,TORBOLTON ABBEY: A GOTHIC TALE
199,486,1820,Pure or high Gothic (terror mode),"Wilkinson, Sarah",f,"THE SPECTRE OF LANMERE ABBEY, OR, THE MYSTERY OF THE BLUE AND SILVER BAG"
200,487,1820,Gothic chapbook (Shauerromantik elements),"Wilkinson, Sarah",f,"THE SPECTRES, OR, LORD OSWALD AND LADY ROSA &C"
,488,n.d.,Gothic bluebook,"Wilkinson, Sarah",f,"THE RUFFIAN BOY: OR, THE CASTLE OF WALDEMAR, A VENETIAN TALE"
202,489,n.d.,Gothic chapbook,"Wilkinson, Sarah",f,"ZITTAW THE CRUEL, OR, THE WOODMAN'S DAUGHTER. A POLISH ROMANCE"
,490,1804,Gothified history (terror mode),"Williams, William Frederick",m,THE WITCHERIES OF CRAIG ISAF
205,491,1804,Domestic fiction (digressive Gothic tendencies),"Williams, William Frederick",m,THE WORLD WE LIVE IN. A NOVEL
,492,n.d.,Gothic chapbook (plagiarism of Shelley’s ST. IRVYNE),unsigned,unknown,"WOLFSTEIN: OR, THE MYSTERIOUS BANDIT, A TERRIFIC ROMANCE, TO WHICH IS ADDED THE BRONZE STATUE, A TERRIFIC TALE"
,493,1804,Sentimental Gothic (terror mode),"Woodfall, Sophia",f,"ROSA: OR, THE CHILD OF THE ABBEY"
,494,1800,"Pure or high Gothic (horror, terror modes)","Yorke, Mrs. R. M. P.",f,"THE VALLEY OF COLLARES: OR, THE CAVERN OF HORRORS"
206,495,1801,Pure or high Gothic (horror mode),"Yorke, Mrs. R. M. P.",f,"THE HAUNTED PALACE, OR, THE HORRORS OF VENTOLIENE. A ROMANCE."
207,496,1801,Pure or high Gothic (horror mode),"Yorke, Mrs. R. M. P.",f,"THE ROMANCE OF SMYRNA, OR, THE PREDICTIONS FULFILLED!!!"
,497,1798,Pure or high Gothic (Radcliffean elements),"Young, Mary Julia",f,"ROSE-MOUNT CASTLE: OR, FALSE REPORT"
208,498,1799,Pure or high Gothic (Radcliffean elements),"Young, Mary Julia",f,"THE EAST INDIAN, OR, CLIFFORD PRIORY"
,499,1803,Pure or high Gothic (terror mode),"Young, Mary Julia",f,"MOSS CLIFF ABBEY: OR, THE SEPULCHRAL HARMONIST, A MYSTERIOUS TALE"
,500,1816,Sentimental Gothic (combined imitation of several sentimental Gothics),"Ziegenhirt, Sophia F.",f,THE ORPHAN OF TINTERN ABBEY
,188222,1810,Pure or high Gothic (terror mode); Gothified history (Radcliffean imitation),"Huish, Robert or G. Lambe",m,THE MYSTERIES OF FERNEY CASTLE: A ROMANCE OF THE FIFTEENTH CENTURY
7,,,,,,
8,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
24,,,,,,
48,,,,,,
49,,,,,,
56,,,,,,
57,,,,,,
63,,,,,,
84,,,,,,
97,,,,,,
98,,,,,,
101,,,,,,
103,,,,,,
121,,,,,,
126,,,,,,
147,,,,,,
156,,,,,,
158,,,,,,
159,,,,,,
164,,,,,,
176,,,,,,
187,,,,,,
195,,,,,,
196,,,,,,
203,,,,,,
204,,,,,,
